Gene Start End Germany_Passau_1800_HG_09 Sweden_Lund_1933_HG_15 Sweden_Lund_1933_HG_16 Sweden_Lund_1933_HG_20 Sweden_Lund_1933_HG0026 Sweden_Lund_1933_HG47203 Sweden_Lund_1933_HG47204 wMel_LabStrain_Gulbenkian wMel1_Finland wMel1_Portugal wMel2_Finland wMel2_Portugal wMelCS_LabStrain_Gulbenkian wMelCS1_Portugal wMelCS2_Portugal wMelCSPOP_LabStrain_Gulbenkian
WD_RS00230 49261 49638 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS01135 240500 241096 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS01165 248113 248481 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS01205 253852 255269 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS01210 255335 256429 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS01250 262193 262656 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS01280 266255 266710 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS02260 491870 492288 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS02505 547758 547952 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS02575 556895 558081 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS02700 578196 579613 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS02805 609312 610444 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS03220 685645 686991 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS03760 799896 800577 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS03785 807852 808130 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS03790 808258 809070 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS04055 865969 866900 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS04260 905278 906209 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS04685 992066 993279 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS04840 1027632 1027754 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS05520 1162026 1164507 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS05830 1230956 1231165 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06180 49646 51019 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06185 51101 51644 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06230 92862 94005 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06390 318981 319709 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06610 777247 778502 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06675 867094 868076 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06680 872362 872742 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06725 906403 907385 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06785 1052641 1053784 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06820 1101722 1102865 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06930 512053 512431 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06945 691328 692779 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06970 865345 865752 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS06995 904654 905061 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS07015 1081610 1083061 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS07495 864794 865337 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS07520 1188427 1188561 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS07550 185801 186124 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS07585 247670 247798 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WD_RS07625 480252 480587 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_006013840.1 139492 139659 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006014985.1 409430 409657 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279181.1 654897 655181 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279213.1 793619 793954 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279266.1 772376 772696 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279310.1 1024965 1025462 Complete Complete Complete Complete Missing Complete Complete Complete FrameShift FrameShift Complete FrameShift FrameShift FrameShift FrameShift FrameShift
WP_006279325.1 513887 514393 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279327.1 515286 515981 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279345.1 651463 651771 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279348.1 652645 653004 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279354.1 128542 129369 Missing Complete Complete Complete Missing Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Incomplete Complete
WP_006279362.1 1055953 1056495 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete Complete
WP_006279391.1 234082 235011 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279412.1 116580 117017 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279413.1 116161 116379 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279415.1 114970 115191 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279429.1 1210313 1210933 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279458.1 228864 229325 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_006279484.1 1047304 1047582 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279487.1 981456 982253 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279489.1 983790 984167 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279515.1 114254 114532 Complete Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279522.1 175312 175494 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279539.1 19688 20206 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279541.1 18577 19017 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279573.1 1074683 1075255 Complete Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279574.1 1075248 1075754 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279576.1 1075758 1076111 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279610.1 936701 937219 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279619.1 373162 373476 Complete Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_006279631.1 325069 325197 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279647.1 225809 226237 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279648.1 223472 223987 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279664.1 457401 457775 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Missing Complete Complete
WP_006279675.1 150649 150861 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279703.1 1243242 1243529 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279705.1 1242301 1242720 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279706.1 1241993 1242304 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279718.1 1225329 1225835 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279719.1 1224700 1225266 Complete Complete Complete Complete Complete Complete Complete FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift
WP_006279756.1 92251 92595 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279761.1 100022 100525 Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete Complete FrameShift Complete Complete
WP_006279769.1 1258502 1258900 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279787.1 13302 13676 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279792.1 757654 758208 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279814.1 1165437 1166288 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279818.1 1158894 1159580 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete
WP_006279859.1 947697 948398 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete FrameShift Complete Complete Complete Complete Complete Complete
WP_006279863.1 649108 649578 Missing Complete Complete Complete Missing Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete
WP_006279867.1 650107 650478 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete
WP_006279875.1 63661 64116 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279877.1 62503 63210 Complete Complete Complete Complete Missing Complete Complete Complete Complete FrameShift Complete FrameShift Complete Complete FrameShift Complete
WP_006279879.1 56970 57566 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279880.1 56598 56924 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279881.1 56293 56598 Missing Complete Complete Complete Missing Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete
WP_006279887.1 394305 395285 Missing Complete Complete Missing Missing Complete Complete FrameShift FrameShift Complete Complete Complete Complete Complete Complete Complete
WP_006279898.1 186144 186278 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279902.1 189016 189360 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279913.1 1188684 1189226 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_006279914.1 1187647 1188345 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete FrameShift FrameShift Complete
WP_006279919.1 1181306 1181557 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006279962.1 305484 305876 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280002.1 463437 463712 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280012.1 471348 471566 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280013.1 471582 471905 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280042.1 991721 991882 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280043.1 991090 991578 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_006280049.1 986826 987119 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280060.1 1124673 1125161 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280064.1 593554 594513 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280069.1 601232 602281 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280070.1 602278 603330 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280072.1 604621 605928 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280073.1 605993 606907 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280118.1 193330 194460 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280119.1 194589 195578 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280146.1 139788 140561 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280151.1 179173 180957 Missing Complete Complete Missing Missing Missing Complete Complete Complete FrameShift Complete FrameShift Complete FrameShift FrameShift Complete
WP_006280189.1 585537 587732 Missing Complete Complete Missing Missing Complete Complete FrameShift Complete Complete Complete FrameShift FrameShift FrameShift Incomplete Complete
WP_006280198.1 1135229 1135783 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_006280203.1 579610 580671 Missing Missing Missing Missing Missing Missing Complete FrameShift Complete FrameShift Complete Complete Complete FrameShift Complete FrameShift
WP_006280242.1 1029145 1030374 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
