ID Contigs GC Largest Length N50 N90
376_ILL 112 43.3 1755 83890 720 546
377_ILL 170 41.22 1689 122320 698 526
378_ILL 116 40.57 2400 88387 738 536
380_ILL 110 42.47 2464 79762 717 531
Finland_EB* 5 35.25 401252 1269298 381755 237146
Finland_wMel_AK7* 28 35.29 186712 1261419 105326 27572
Finland_wMel_AK9* 27 35.41 209106 1317183 125544 32583
HG_09_ILL 888 35.09 4474 893957 1098 601
HG_14_ILL 172 42.01 2892 133512 754 532
HG_15_ILL 344 36.11 23477 1342387 9929 1391
HG_16_ILL 434 35.97 18847 1320501 6441 1088
HG_17_ILL 179 41.82 2080 134740 760 535
HG_18_ILL 157 39.65 5665 139713 888 567
HG_19_ILL 138 41.3 2072 104189 726 528
HG_20_ILL 608 35.75 17791 1283117 3321 869
HG_21_ILL 289 40.76 3746 243593 851 548
HG0021_ILL 209 40.45 4160 185808 902 564
HG0025_ILL 29 41.95 2299 23548 773 568
HG0026_ILL 736 35.65 3086 598293 807 547
HG0027_ILL 158 38.49 2787 119570 713 523
HG0028_ILL 272 41.16 4221 250998 952 576
HG0029_ILL 158 42.93 5421 164991 1189 564
HG0034_ILL 34 42.31 2074 26114 808 536
HG0035_ILL 33 38.29 2040 32419 1053 593
HG29702_ILL 219 41.59 2904 172693 752 545
HG47203_ILL 490 35.74 20317 1281146 4904 941
HG47204_ILL 328 35.94 36386 1352402 14530 1108
HG47205_ILL 232 41.27 2714 172449 744 535
Portugal_wMel_Re1* 23 35.35 319617 1268608 158063 31013
Portugal_wMel_Re6* 25 35.68 301634 1326130 158072 31014
Portugal_wMelCS_Re10* 28 35.26 365624 1247994 124743 24669
Portugal_wMelCS_Re3* 22 35.28 347181 1260048 116215 37219
Spain_EB* 1 35.25 1266595 1266595 1266595 1266595
Turkey_EB* 3 35.26 1266445 1271587 1266445 1266445
Ukraine_EB* 2 35.26 1266351 1269527 1266351 1266351
w1118_wMel* 34 35.29 135716 1284797 86112 19843
w1118_wMelCS* 33 35.3 226845 1252003 86121 17045
w1118_wMelPop* 29 35.3 238089 1266220 124125 30868
Zambia_EB* 3 35.26 1266301 1272418 1266301 1266301
